donation_id,supporter_id,donation_type,donation_date,is_recurring,campaign_name,channel_source,currency_code,amount,estimated_value,impact_unit,notes,referral_post_id
25,9,Monetary,2024-11-04,False,Year-End Hope,SocialMedia,PHP,1796.47,1796.47,pesos,Campaign support,779
26,29,Monetary,2025-09-28,False,,Event,PHP,1083.86,1083.86,pesos,Community outreach support,
27,7,InKind,2023-10-19,True,,Event,,,826.93,items,Community outreach support,
28,54,Skills,2025-06-15,True,Back to School,PartnerReferral,,,11.27,hours,Community outreach support,
29,31,Monetary,2023-12-26,True,,SocialMedia,PHP,1014.15,1014.15,pesos,Monthly contribution,61
30,4,InKind,2023-03-15,True,,SocialMedia,,,439.51,items,Monthly contribution,159
31,50,Time,2025-01-24,False,,PartnerReferral,,,32.95,hours,Community outreach support,
32,5,Skills,2024-01-18,False,,SocialMedia,,,12.59,hours,Monthly contribution,716
33,37,Monetary,2025-01-12,False,,Campaign,PHP,1432.02,1432.02,pesos,Recurring gift,
34,7,Monetary,2025-12-28,True,,SocialMedia,PHP,938.45,938.45,pesos,In support of safehouse operations,187
35,36,Monetary,2023-03-15,False,,Direct,PHP,826.28,826.28,pesos,In support of safehouse operations,
36,8,Monetary,2023-11-06,True,,SocialMedia,PHP,766.29,766.29,pesos,Event donation,421
37,21,Monetary,2023-07-25,False,Back to School,Campaign,PHP,1104.16,1104.16,pesos,Campaign support,
38,16,Monetary,2025-07-15,False,Back to School,Event,PHP,568.91,568.91,pesos,Campaign support,
39,25,InKind,2025-04-28,True,,Direct,,,437.14,items,Monthly contribution,
40,32,SocialMedia,2023-02-02,False,,PartnerReferral,,,2.6,campaigns,Monthly contribution,
41,23,Time,2025-03-26,False,,Event,,,31.14,hours,Campaign support,
42,6,SocialMedia,2023-03-22,False,,Direct,,,11.87,campaigns,Monthly contribution,
43,16,InKind,2025-11-03,False,Year-End Hope,Campaign,,,300.0,items,Monthly contribution,
44,33,InKind,2023-09-13,False,,Direct,,,313.53,items,Recurring gift,
45,19,Time,2025-11-12,False,GivingTuesday,Campaign,,,8.16,hours,Recurring gift,
46,5,Monetary,2023-12-20,False,Year-End Hope,Campaign,PHP,2022.07,2022.07,pesos,Recurring gift,
47,24,Monetary,2024-10-25,True,,Event,PHP,857.65,857.65,pesos,Event donation,
48,25,InKind,2023-11-10,True,Year-End Hope,PartnerReferral,,,300.0,items,Recurring gift,
49,25,Monetary,2025-11-23,True,GivingTuesday,Event,PHP,711.25,711.25,pesos,Recurring gift,
50,43,Monetary,2023-08-12,False,,Direct,PHP,436.4,436.4,pesos,Recurring gift,
51,10,InKind,2024-10-18,False,,PartnerReferral,,,336.58,items,Monthly contribution,
52,12,Time,2023-02-24,False,,Event,,,19.07,hours,Recurring gift,
53,55,Time,2023-11-03,False,Year-End Hope,PartnerReferral,,,5.23,hours,Recurring gift,
54,15,Monetary,2024-09-15,False,,PartnerReferral,PHP,675.66,675.66,pesos,Recurring gift,
55,54,SocialMedia,2023-03-13,True,,Direct,,,2.66,campaigns,Recurring gift,
56,35,Monetary,2024-03-27,False,,Event,PHP,1420.82,1420.82,pesos,Recurring gift,
57,4,Monetary,2023-12-27,True,,Direct,PHP,1226.51,1226.51,pesos,Recurring gift,
58,16,Monetary,2024-10-18,False,,Campaign,PHP,1149.13,1149.13,pesos,Community outreach support,
59,17,Time,2024-12-29,False,Year-End Hope,Direct,,,12.58,hours,Recurring gift,
60,50,InKind,2024-10-22,False,,Direct,,,658.36,items,Monthly contribution,
61,32,InKind,2025-10-24,False,,Event,,,1369.84,items,Recurring gift,
62,1,Monetary,2024-01-08,True,,Direct,PHP,1392.1,1392.1,pesos,Monthly contribution,
63,51,Monetary,2026-02-27,False,,Campaign,PHP,914.95,914.95,pesos,Recurring gift,
64,44,Monetary,2025-10-05,True,,Direct,PHP,892.83,892.83,pesos,Campaign support,
65,52,InKind,2024-05-16,True,Summer of Safety,SocialMedia,,,630.81,items,Community outreach support,191
66,4,Monetary,2024-10-11,True,,Event,PHP,1623.68,1623.68,pesos,Event donation,
67,9,Time,2024-08-31,False,,Campaign,,,20.42,hours,Campaign support,
68,56,InKind,2024-03-04,False,,PartnerReferral,,,300.0,items,In support of safehouse operations,
69,38,Monetary,2025-10-28,True,,Direct,PHP,396.32,396.32,pesos,Campaign support,
70,39,Monetary,2023-09-12,False,,PartnerReferral,PHP,444.97,444.97,pesos,Campaign support,
71,3,SocialMedia,2023-06-25,True,,Campaign,,,9.07,campaigns,Event donation,
72,52,InKind,2023-01-17,True,,Campaign,,,506.18,items,Community outreach support,
73,9,Monetary,2025-12-08,False,,SocialMedia,PHP,1967.06,1967.06,pesos,In support of safehouse operations,39
74,3,InKind,2023-04-09,True,,Event,,,300.0,items,Monthly contribution,
75,55,Skills,2023-05-10,False,,SocialMedia,,,10.09,hours,Community outreach support,244
76,54,Time,2023-12-07,True,,PartnerReferral,,,19.14,hours,Recurring gift,
77,13,Monetary,2025-02-03,False,,Campaign,PHP,395.95,395.95,pesos,Campaign support,
78,36,Time,2023-06-19,False,Back to School,Campaign,,,21.67,hours,Campaign support,
79,43,Time,2024-01-17,False,,SocialMedia,,,4.65,hours,In support of safehouse operations,716
80,32,Monetary,2025-07-18,False,Back to School,PartnerReferral,PHP,1997.7,1997.7,pesos,Community outreach support,
81,39,Monetary,2024-09-19,False,,SocialMedia,PHP,295.79,295.79,pesos,Event donation,209
82,31,Monetary,2025-05-11,True,Summer of Safety,SocialMedia,PHP,250.0,250.0,pesos,Monthly contribution,221
83,8,Monetary,2024-01-17,True,,Direct,PHP,489.6,489.6,pesos,Monthly contribution,
84,3,Monetary,2025-09-13,True,,Campaign,PHP,527.51,527.51,pesos,Recurring gift,
85,37,Monetary,2023-06-02,False,Back to School,Campaign,PHP,502.9,502.9,pesos,Event donation,
86,6,Monetary,2024-08-07,False,,Campaign,PHP,2160.9,2160.9,pesos,Community outreach support,
87,13,Monetary,2024-06-07,False,,Campaign,PHP,423.77,423.77,pesos,In support of safehouse operations,
88,11,InKind,2024-08-20,False,,SocialMedia,,,577.02,items,Campaign support,12
89,21,Monetary,2025-04-07,False,,SocialMedia,PHP,1461.45,1461.45,pesos,In support of safehouse operations,648
90,8,Monetary,2024-10-12,True,,Campaign,PHP,470.61,470.61,pesos,Event donation,
91,32,Monetary,2024-04-26,False,Summer of Safety,Event,PHP,464.59,464.59,pesos,Campaign support,
92,31,Monetary,2025-10-16,True,,Direct,PHP,285.45,285.45,pesos,Event donation,
93,48,Monetary,2024-05-04,True,Summer of Safety,Event,PHP,767.63,767.63,pesos,Recurring gift,
94,7,Monetary,2025-03-06,True,,Event,PHP,413.82,413.82,pesos,Monthly contribution,
95,6,Monetary,2025-08-12,False,,PartnerReferral,PHP,3189.71,3189.71,pesos,Campaign support,
96,55,Monetary,2025-03-03,False,,Campaign,PHP,2439.57,2439.57,pesos,Event donation,
97,11,InKind,2023-03-18,False,,SocialMedia,,,386.1,items,Monthly contribution,159
98,37,SocialMedia,2023-02-02,False,,Campaign,,,5.92,campaigns,Monthly contribution,
99,54,Monetary,2023-07-08,True,,Direct,PHP,1167.2,1167.2,pesos,Community outreach support,
100,51,Monetary,2023-05-11,False,Summer of Safety,PartnerReferral,PHP,1036.3,1036.3,pesos,Event donation,
101,60,Monetary,2023-08-14,True,,Event,PHP,250.0,250.0,pesos,In support of safehouse operations,
102,44,Monetary,2024-07-21,True,,Campaign,PHP,587.96,587.96,pesos,Recurring gift,
103,10,InKind,2025-11-09,False,Year-End Hope,SocialMedia,,,447.5,items,In support of safehouse operations,740
104,54,InKind,2025-11-23,True,Year-End Hope,SocialMedia,,,490.48,items,Monthly contribution,200
105,46,Monetary,2025-04-22,False,Summer of Safety,Campaign,PHP,787.53,787.53,pesos,Community outreach support,
106,3,Monetary,2025-03-15,True,,Campaign,PHP,1534.69,1534.69,pesos,Community outreach support,
107,37,Time,2024-11-21,False,GivingTuesday,Campaign,,,30.16,hours,Community outreach support,
108,34,InKind,2025-05-07,True,Summer of Safety,Direct,,,732.46,items,Event donation,
109,18,Monetary,2024-10-09,False,,SocialMedia,PHP,329.79,329.79,pesos,Community outreach support,48
110,20,Monetary,2023-03-23,True,,Event,PHP,1350.34,1350.34,pesos,In support of safehouse operations,
111,7,Time,2023-11-02,True,,Event,,,18.82,hours,Recurring gift,
112,50,Monetary,2024-04-13,False,Summer of Safety,SocialMedia,PHP,999.49,999.49,pesos,Monthly contribution,493
113,8,SocialMedia,2023-12-03,True,,PartnerReferral,,,6.03,campaigns,Campaign support,
114,8,InKind,2023-12-28,True,Year-End Hope,Campaign,,,486.04,items,Monthly contribution,
115,20,InKind,2023-06-03,True,Back to School,Campaign,,,1788.92,items,In support of safehouse operations,
116,20,Monetary,2024-11-10,True,,Event,PHP,622.51,622.51,pesos,Community outreach support,
117,34,Time,2024-10-26,True,,PartnerReferral,,,22.09,hours,Recurring gift,
118,20,SocialMedia,2023-12-08,True,Year-End Hope,Campaign,,,11.45,campaigns,Campaign support,
119,25,Monetary,2025-07-17,True,Back to School,Campaign,PHP,1510.08,1510.08,pesos,In support of safehouse operations,
120,2,Time,2023-09-25,False,,Campaign,,,24.34,hours,Monthly contribution,
121,25,Monetary,2025-07-04,True,,SocialMedia,PHP,1244.53,1244.53,pesos,Event donation,223
122,38,Monetary,2023-12-10,True,Year-End Hope,Event,PHP,1032.04,1032.04,pesos,Event donation,
123,38,Monetary,2023-05-21,True,Summer of Safety,SocialMedia,PHP,1757.44,1757.44,pesos,In support of safehouse operations,568
124,46,Monetary,2024-02-15,False,,Direct,PHP,480.16,480.16,pesos,Monthly contribution,
125,29,Time,2023-03-04,False,,Direct,,,9.94,hours,Monthly contribution,
126,19,InKind,2024-11-28,False,GivingTuesday,Campaign,,,658.57,items,Event donation,
127,3,Monetary,2023-08-22,True,,SocialMedia,PHP,460.56,460.56,pesos,In support of safehouse operations,727
128,53,Skills,2024-11-09,False,,Direct,,,7.43,hours,In support of safehouse operations,
129,54,Monetary,2023-11-11,True,Year-End Hope,Campaign,PHP,421.11,421.11,pesos,Campaign support,
130,45,Monetary,2025-03-04,True,,Campaign,PHP,971.69,971.69,pesos,Campaign support,
131,60,Monetary,2024-07-09,True,Back to School,Direct,PHP,1195.89,1195.89,pesos,In support of safehouse operations,
132,24,Time,2025-10-14,True,,Event,,,18.77,hours,Community outreach support,
133,5,Monetary,2025-10-02,False,,Campaign,PHP,504.86,504.86,pesos,Monthly contribution,
134,36,InKind,2024-05-22,False,,PartnerReferral,,,416.51,items,In support of safehouse operations,
135,58,InKind,2023-01-09,False,,Direct,,,616.42,items,Event donation,
136,25,Monetary,2024-09-15,True,,Direct,PHP,695.12,695.12,pesos,Campaign support,
137,32,SocialMedia,2026-01-18,False,,Event,,,5.23,campaigns,Community outreach support,
138,45,InKind,2024-11-26,True,Year-End Hope,Event,,,300.0,items,In support of safehouse operations,
139,45,Monetary,2025-04-30,True,Summer of Safety,SocialMedia,PHP,1321.41,1321.41,pesos,Recurring gift,790
140,8,InKind,2024-11-24,True,Year-End Hope,Direct,,,304.75,items,Campaign support,
141,31,Monetary,2024-02-08,True,,Campaign,PHP,318.57,318.57,pesos,Campaign support,
142,26,Monetary,2025-01-12,True,,Campaign,PHP,1071.26,1071.26,pesos,Campaign support,
143,1,InKind,2025-10-29,True,,SocialMedia,,,503.75,items,Event donation,
144,39,Monetary,2025-06-15,False,,Event,PHP,364.81,364.81,pesos,In support of safehouse operations,
145,1,Monetary,2023-03-25,True,,SocialMedia,PHP,774.61,774.61,pesos,In support of safehouse operations,70
146,3,InKind,2024-02-06,True,,Campaign,,,476.64,items,Event donation,
147,8,Skills,2025-08-05,True,,Campaign,,,11.51,hours,Recurring gift,
148,1,Time,2023-07-23,True,,SocialMedia,,,19.2,hours,Community outreach support,457
149,21,InKind,2023-10-20,False,,SocialMedia,,,300.0,items,Monthly contribution,666
150,3,Monetary,2024-10-03,True,,Event,PHP,1707.64,1707.64,pesos,In support of safehouse operations,
151,54,Monetary,2025-07-18,True,,SocialMedia,PHP,436.93,436.93,pesos,Monthly contribution,378
152,34,Monetary,2024-09-02,True,,Campaign,PHP,250.0,250.0,pesos,Community outreach support,
153,24,Time,2023-07-02,True,,Event,,,4.89,hours,Recurring gift,
154,16,InKind,2024-10-14,False,,SocialMedia,,,300.0,items,Recurring gift,211
155,7,InKind,2025-09-23,True,,SocialMedia,,,716.99,items,In support of safehouse operations,793
156,38,Monetary,2024-12-06,True,Year-End Hope,SocialMedia,PHP,1024.06,1024.06,pesos,Community outreach support,358
157,13,Time,2024-12-06,False,,SocialMedia,,,5.85,hours,Event donation,358
158,1,InKind,2023-06-24,True,Back to School,Direct,,,606.91,items,Recurring gift,
159,45,Monetary,2023-08-27,True,,PartnerReferral,PHP,325.06,325.06,pesos,Event donation,
160,9,Monetary,2024-11-08,False,GivingTuesday,SocialMedia,PHP,903.39,903.39,pesos,Campaign support,424
161,1,Monetary,2024-10-17,True,,SocialMedia,PHP,1042.36,1042.36,pesos,Monthly contribution,682
162,19,Time,2023-10-29,False,,Direct,,,30.72,hours,Recurring gift,
163,24,Monetary,2025-01-07,True,,Campaign,PHP,710.26,710.26,pesos,Event donation,
164,20,Monetary,2024-08-04,True,,SocialMedia,PHP,971.81,971.81,pesos,Recurring gift,667
165,32,Monetary,2023-01-22,False,,Event,PHP,338.91,338.91,pesos,Community outreach support,
166,30,Monetary,2025-07-29,False,,SocialMedia,PHP,3208.9,3208.9,pesos,Recurring gift,588
167,31,Monetary,2025-08-10,True,,PartnerReferral,PHP,425.04,425.04,pesos,Recurring gift,
168,8,Skills,2024-12-17,True,Year-End Hope,Event,,,17.89,hours,Event donation,
169,26,Monetary,2026-02-24,True,,Event,PHP,357.02,357.02,pesos,Campaign support,
170,21,Time,2025-12-30,False,Year-End Hope,Event,,,13.68,hours,Community outreach support,
171,7,Monetary,2023-05-30,True,Summer of Safety,Campaign,PHP,469.97,469.97,pesos,Event donation,
172,6,InKind,2024-12-20,False,Year-End Hope,Campaign,,,801.17,items,In support of safehouse operations,
173,35,Monetary,2023-10-31,False,,Direct,PHP,1569.56,1569.56,pesos,Campaign support,
174,44,Monetary,2025-11-22,True,Year-End Hope,Event,PHP,1564.35,1564.35,pesos,Monthly contribution,
175,59,Skills,2025-03-05,False,,Event,,,12.57,hours,In support of safehouse operations,
176,47,Time,2025-04-04,False,Summer of Safety,PartnerReferral,,,9.18,hours,Community outreach support,
177,45,Monetary,2023-11-26,True,GivingTuesday,Event,PHP,1732.45,1732.45,pesos,Event donation,
178,11,Monetary,2025-12-16,False,,SocialMedia,PHP,2261.72,2261.72,pesos,Monthly contribution,228
179,31,Monetary,2023-04-24,True,Summer of Safety,Campaign,PHP,1021.77,1021.77,pesos,Recurring gift,
180,20,Monetary,2024-08-17,True,,Event,PHP,1177.6,1177.6,pesos,Monthly contribution,
181,44,InKind,2023-12-03,True,Year-End Hope,Event,,,403.77,items,Campaign support,
182,15,Monetary,2024-06-16,False,Back to School,Campaign,PHP,250.0,250.0,pesos,Community outreach support,
183,55,Monetary,2024-03-13,False,,Campaign,PHP,638.62,638.62,pesos,Campaign support,
184,12,Monetary,2025-08-15,False,,Direct,PHP,617.11,617.11,pesos,Recurring gift,
185,55,Monetary,2024-12-01,False,Year-End Hope,PartnerReferral,PHP,6481.54,6481.54,pesos,Monthly contribution,
186,7,SocialMedia,2025-04-20,True,Summer of Safety,SocialMedia,,,7.08,campaigns,Event donation,656
187,31,InKind,2025-10-19,True,,Campaign,,,307.52,items,Monthly contribution,
188,24,Monetary,2025-01-01,True,,PartnerReferral,PHP,1061.85,1061.85,pesos,Monthly contribution,
189,43,Monetary,2025-10-23,False,,Campaign,PHP,1223.21,1223.21,pesos,In support of safehouse operations,
190,6,Monetary,2023-07-19,False,,Direct,PHP,1038.86,1038.86,pesos,Recurring gift,
191,38,InKind,2023-03-10,True,,Direct,,,453.66,items,Monthly contribution,
192,25,Monetary,2023-10-14,True,,PartnerReferral,PHP,525.32,525.32,pesos,Monthly contribution,
193,54,Time,2024-05-31,True,,Event,,,4.52,hours,Monthly contribution,
194,31,InKind,2025-02-28,True,,SocialMedia,,,529.53,items,Event donation,14
195,25,InKind,2026-02-14,True,,Event,,,412.91,items,Campaign support,
196,26,Monetary,2024-10-06,True,,Campaign,PHP,735.7,735.7,pesos,Recurring gift,
197,23,SocialMedia,2023-12-15,False,Year-End Hope,SocialMedia,,,4.75,campaigns,In support of safehouse operations,359
198,17,Monetary,2025-01-21,False,,Direct,PHP,813.27,813.27,pesos,Event donation,
199,21,Time,2023-08-26,False,,Campaign,,,26.27,hours,Monthly contribution,
200,10,Skills,2023-08-22,False,,Event,,,20.62,hours,Recurring gift,
201,36,Monetary,2023-01-15,False,,Campaign,PHP,691.35,691.35,pesos,Community outreach support,
202,44,Monetary,2025-12-17,True,Year-End Hope,Direct,PHP,1155.47,1155.47,pesos,In support of safehouse operations,
203,35,Monetary,2025-02-11,False,,Direct,PHP,250.0,250.0,pesos,Campaign support,
204,12,InKind,2025-10-13,False,,Campaign,,,735.61,items,In support of safehouse operations,
205,19,Monetary,2024-01-07,False,,Direct,PHP,1337.07,1337.07,pesos,Community outreach support,
206,5,Monetary,2024-12-28,False,Year-End Hope,PartnerReferral,PHP,812.03,812.03,pesos,In support of safehouse operations,
207,20,Skills,2023-05-04,True,Summer of Safety,Campaign,,,17.39,hours,Event donation,
208,44,Monetary,2023-11-23,True,GivingTuesday,PartnerReferral,PHP,1160.53,1160.53,pesos,Event donation,
209,40,Skills,2025-07-22,False,Back to School,Direct,,,12.44,hours,Recurring gift,
210,59,InKind,2024-01-26,False,,Campaign,,,359.85,items,Campaign support,
211,19,Skills,2023-04-23,False,Summer of Safety,PartnerReferral,,,4.15,hours,Community outreach support,
212,13,Monetary,2023-11-03,False,GivingTuesday,Campaign,PHP,1395.79,1395.79,pesos,Recurring gift,
213,22,InKind,2025-01-08,False,,Campaign,,,413.32,items,Monthly contribution,
214,54,Skills,2025-01-04,True,,Campaign,,,5.98,hours,Campaign support,
215,43,InKind,2023-08-20,False,,Event,,,667.96,items,Campaign support,
216,33,Monetary,2025-04-01,False,,Direct,PHP,633.01,633.01,pesos,Recurring gift,
217,20,Monetary,2024-11-11,True,Year-End Hope,Event,PHP,1179.47,1179.47,pesos,In support of safehouse operations,
218,1,Monetary,2024-12-11,True,Year-End Hope,Event,PHP,376.97,376.97,pesos,Community outreach support,
219,6,Monetary,2025-02-15,False,,Event,PHP,409.44,409.44,pesos,Community outreach support,
220,12,Monetary,2025-08-24,False,,SocialMedia,PHP,836.04,836.04,pesos,Recurring gift,140
221,56,InKind,2023-03-29,False,,Event,,,300.0,items,In support of safehouse operations,
222,47,InKind,2024-06-30,False,Back to School,SocialMedia,,,482.86,items,Campaign support,139
223,20,InKind,2023-08-11,True,,Direct,,,800.07,items,Recurring gift,
224,56,Monetary,2025-11-12,False,Year-End Hope,Direct,PHP,593.89,593.89,pesos,Recurring gift,
225,42,Monetary,2024-10-24,False,,Campaign,PHP,650.1,650.1,pesos,Monthly contribution,
226,19,InKind,2025-03-10,False,,Campaign,,,302.29,items,Monthly contribution,
227,3,Monetary,2024-11-18,True,,PartnerReferral,PHP,1053.82,1053.82,pesos,Community outreach support,
228,54,Monetary,2023-04-17,True,Summer of Safety,Event,PHP,721.33,721.33,pesos,Campaign support,
229,11,Monetary,2025-08-21,False,,PartnerReferral,PHP,1170.78,1170.78,pesos,Community outreach support,
230,18,Monetary,2026-01-20,False,,Campaign,PHP,2148.74,2148.74,pesos,Event donation,
231,10,Monetary,2024-12-28,False,,Event,PHP,2103.84,2103.84,pesos,In support of safehouse operations,
232,20,Monetary,2025-05-11,True,Summer of Safety,SocialMedia,PHP,1959.16,1959.16,pesos,Recurring gift,221
233,31,Time,2024-08-28,True,,Direct,,,5.8,hours,Recurring gift,
234,25,Monetary,2023-10-07,True,,Direct,PHP,2104.72,2104.72,pesos,Recurring gift,
235,54,Monetary,2023-08-01,True,,Campaign,PHP,1547.99,1547.99,pesos,Event donation,
236,56,InKind,2026-01-05,False,,Direct,,,388.04,items,Campaign support,
237,4,Monetary,2025-11-24,True,Year-End Hope,Event,PHP,2667.25,2667.25,pesos,Community outreach support,
238,47,Monetary,2025-08-19,False,,Campaign,PHP,4213.58,4213.58,pesos,In support of safehouse operations,
239,4,Monetary,2025-11-23,True,Year-End Hope,Direct,PHP,250.0,250.0,pesos,Monthly contribution,
240,35,Monetary,2024-11-11,False,Year-End Hope,Event,PHP,1650.13,1650.13,pesos,Event donation,
241,35,InKind,2025-12-21,False,,Campaign,,,300.0,items,Campaign support,
242,54,Monetary,2024-09-10,True,,Direct,PHP,419.25,419.25,pesos,Recurring gift,
243,8,Monetary,2025-09-10,True,,SocialMedia,PHP,489.55,489.55,pesos,Community outreach support,508
244,54,InKind,2023-08-05,True,,SocialMedia,,,935.56,items,Campaign support,582
245,40,Monetary,2025-02-06,False,,Event,PHP,1633.61,1633.61,pesos,Event donation,
246,27,Monetary,2024-08-03,False,,Campaign,PHP,2447.64,2447.64,pesos,Monthly contribution,
247,17,InKind,2023-05-23,False,Summer of Safety,Direct,,,567.97,items,Event donation,
248,3,InKind,2025-05-26,True,Summer of Safety,Event,,,756.8,items,Event donation,
249,9,InKind,2025-07-18,False,,Campaign,,,808.8,items,Event donation,
250,1,Monetary,2026-02-19,True,,Campaign,PHP,689.85,689.85,pesos,Community outreach support,
251,35,Monetary,2023-12-20,False,,Event,PHP,2028.9,2028.9,pesos,Recurring gift,
252,27,SocialMedia,2025-08-11,False,,SocialMedia,,,7.39,campaigns,In support of safehouse operations,494
253,21,Time,2023-06-13,False,,Event,,,29.54,hours,Community outreach support,
254,26,Monetary,2023-12-06,True,Year-End Hope,Campaign,PHP,838.21,838.21,pesos,Event donation,
255,31,Monetary,2024-09-03,True,,SocialMedia,PHP,1295.61,1295.61,pesos,In support of safehouse operations,587
256,30,Monetary,2024-11-13,False,Year-End Hope,Campaign,PHP,1504.94,1504.94,pesos,Campaign support,
257,3,InKind,2025-03-31,True,,Campaign,,,671.26,items,Campaign support,
258,35,Monetary,2025-08-28,False,,Direct,PHP,626.97,626.97,pesos,Community outreach support,
259,4,InKind,2024-09-10,True,,Campaign,,,380.15,items,In support of safehouse operations,
260,4,Monetary,2024-04-11,True,Summer of Safety,Campaign,PHP,1017.09,1017.09,pesos,Campaign support,
261,27,Skills,2023-01-16,False,,Campaign,,,5.45,hours,In support of safehouse operations,
262,12,Monetary,2023-04-26,False,,Direct,PHP,683.54,683.54,pesos,Event donation,
263,57,InKind,2025-12-06,False,Year-End Hope,Campaign,,,537.37,items,Recurring gift,
264,34,InKind,2024-02-28,True,,PartnerReferral,,,300.0,items,Community outreach support,
265,32,InKind,2025-08-10,False,,Event,,,344.86,items,Monthly contribution,
266,60,Monetary,2023-07-27,True,Back to School,PartnerReferral,PHP,374.1,374.1,pesos,Event donation,
267,20,Monetary,2023-02-22,True,,Campaign,PHP,694.07,694.07,pesos,Campaign support,
268,29,InKind,2023-11-06,False,Year-End Hope,Event,,,300.0,items,Event donation,
269,33,Monetary,2024-11-15,False,Year-End Hope,SocialMedia,PHP,314.15,314.15,pesos,Monthly contribution,652
270,31,InKind,2023-04-14,True,,Event,,,603.87,items,Community outreach support,
271,12,Monetary,2023-07-16,False,Back to School,Campaign,PHP,1374.79,1374.79,pesos,Community outreach support,
272,36,Monetary,2024-06-15,False,Back to School,Direct,PHP,427.1,427.1,pesos,Recurring gift,
273,54,InKind,2024-05-30,True,Summer of Safety,Campaign,,,547.24,items,Campaign support,
274,29,Monetary,2023-09-03,False,,Event,PHP,1000.5,1000.5,pesos,In support of safehouse operations,
275,25,InKind,2025-03-13,True,,Campaign,,,463.82,items,Recurring gift,
276,9,Monetary,2026-02-03,False,,Direct,PHP,707.04,707.04,pesos,Recurring gift,
277,51,Monetary,2023-10-03,False,,Campaign,PHP,343.6,343.6,pesos,Campaign support,
278,25,Monetary,2024-04-24,True,,Direct,PHP,655.63,655.63,pesos,Event donation,
279,6,Monetary,2024-12-05,False,Year-End Hope,Campaign,PHP,415.11,415.11,pesos,Recurring gift,
280,48,Monetary,2025-11-20,True,Year-End Hope,Direct,PHP,583.05,583.05,pesos,Campaign support,
281,42,Time,2025-11-03,False,GivingTuesday,Direct,,,2.62,hours,Event donation,
282,54,Time,2024-04-28,True,,Direct,,,7.53,hours,Campaign support,
283,54,Monetary,2023-07-02,True,Back to School,SocialMedia,PHP,330.63,330.63,pesos,Campaign support,13
284,31,Skills,2026-02-11,True,,Direct,,,19.4,hours,Monthly contribution,
285,29,InKind,2025-07-17,False,Back to School,SocialMedia,,,564.36,items,Monthly contribution,448
286,9,Monetary,2023-12-29,False,Year-End Hope,Direct,PHP,2496.61,2496.61,pesos,In support of safehouse operations,
287,12,InKind,2024-02-15,False,,SocialMedia,,,736.22,items,Campaign support,383
288,31,Monetary,2025-08-31,True,,Event,PHP,574.32,574.32,pesos,Community outreach support,
289,34,Skills,2024-04-16,True,Summer of Safety,Campaign,,,8.27,hours,Monthly contribution,
290,9,SocialMedia,2023-03-18,False,,SocialMedia,,,11.61,campaigns,Community outreach support,159
291,20,Monetary,2025-04-08,True,Summer of Safety,PartnerReferral,PHP,386.0,386.0,pesos,Community outreach support,
292,35,InKind,2023-06-12,False,Back to School,Direct,,,315.92,items,Event donation,
