allocation_id,donation_id,safehouse_id,program_area,amount_allocated,allocation_date,allocation_notes
89,76,6,Wellbeing,9.57,2023-12-07,
90,77,3,Wellbeing,395.95,2025-02-03,
91,78,1,Education,21.67,2023-06-19,
92,79,5,Outreach,4.65,2024-01-17,
93,80,6,Operations,1997.7,2025-07-18,
94,81,3,Education,295.79,2024-09-19,
95,82,5,Transport,250.0,2025-05-11,
96,83,8,Wellbeing,489.6,2024-01-17,
97,84,3,Education,527.51,2025-09-13,
98,85,6,Operations,502.9,2023-06-02,
99,86,3,Operations,2160.9,2024-08-07,
100,87,3,Maintenance,423.77,2024-06-07,
101,88,3,Outreach,577.02,2024-08-20,
102,89,4,Operations,1461.45,2025-04-07,
103,90,6,Maintenance,235.31,2024-10-12,
104,90,2,Wellbeing,235.31,2024-10-12,
105,91,1,Transport,464.59,2024-04-26,
106,92,1,Education,285.45,2025-10-16,
107,93,7,Maintenance,767.63,2024-05-04,
108,94,8,Operations,413.82,2025-03-06,
109,95,9,Wellbeing,2073.31,2025-08-12,
110,96,8,Education,2439.57,2025-03-03,
111,97,9,Operations,250.97,2023-03-18,
112,98,5,Operations,5.92,2023-02-02,
113,99,1,Transport,583.6,2023-07-08,
114,99,1,Operations,583.6,2023-07-08,
115,100,2,Education,1036.3,2023-05-11,
116,101,9,Education,162.5,2023-08-14,
117,102,9,Maintenance,382.17,2024-07-21,
118,103,8,Outreach,447.5,2025-11-09,
119,104,5,Education,245.24,2025-11-23,
120,104,8,Wellbeing,245.24,2025-11-23,
121,105,4,Wellbeing,787.53,2025-04-22,
122,106,1,Operations,1534.69,2025-03-15,
123,107,3,Wellbeing,30.16,2024-11-21,
124,108,2,Wellbeing,732.46,2025-05-07,
125,109,3,Outreach,329.79,2024-10-09,
126,110,3,Education,675.17,2023-03-23,
127,110,9,Operations,438.86,2023-03-23,
128,111,2,Wellbeing,18.82,2023-11-02,
129,112,3,Wellbeing,999.49,2024-04-13,
130,113,2,Operations,3.02,2023-12-03,
131,113,2,Education,3.02,2023-12-03,
132,114,4,Outreach,486.04,2023-12-28,
133,115,1,Wellbeing,1788.92,2023-06-03,
134,116,8,Maintenance,622.51,2024-11-10,
135,117,2,Maintenance,11.04,2024-10-26,
136,117,4,Wellbeing,11.04,2024-10-26,
137,118,8,Transport,11.45,2023-12-08,
138,119,2,Education,1510.08,2025-07-17,
139,120,6,Education,12.17,2023-09-25,
140,120,1,Operations,12.17,2023-09-25,
141,121,7,Maintenance,1244.53,2025-07-04,
142,122,5,Transport,516.02,2023-12-10,
143,122,1,Operations,516.02,2023-12-10,
144,123,6,Operations,878.72,2023-05-21,
145,123,9,Transport,571.17,2023-05-21,
146,124,7,Operations,240.08,2024-02-15,
147,124,2,Operations,240.08,2024-02-15,
148,125,4,Education,9.94,2023-03-04,
149,126,4,Operations,329.29,2024-11-28,
150,126,4,Transport,329.29,2024-11-28,
151,127,7,Operations,460.56,2023-08-22,
152,128,4,Operations,7.43,2024-11-09,
153,129,3,Maintenance,421.11,2023-11-11,
154,130,6,Operations,971.69,2025-03-04,
155,131,9,Education,388.66,2024-07-09,
156,131,8,Wellbeing,597.95,2024-07-09,
157,132,8,Maintenance,9.38,2025-10-14,
158,132,9,Operations,6.1,2025-10-14,
159,133,7,Education,504.86,2025-10-02,
160,134,4,Education,416.51,2024-05-22,
161,135,2,Outreach,616.42,2023-01-09,
162,136,6,Operations,695.12,2024-09-15,
163,137,6,Wellbeing,2.62,2026-01-18,
164,137,3,Transport,2.62,2026-01-18,
165,138,9,Education,195.0,2024-11-26,
166,139,4,Wellbeing,1321.41,2025-04-30,
167,140,3,Operations,304.75,2024-11-24,
168,141,6,Maintenance,318.57,2024-02-08,
169,142,4,Transport,1071.26,2025-01-12,
170,143,2,Wellbeing,503.75,2025-10-29,
171,144,7,Operations,182.41,2025-06-15,
172,144,2,Education,182.41,2025-06-15,
173,145,8,Wellbeing,387.31,2023-03-25,
174,145,4,Maintenance,387.31,2023-03-25,
175,146,1,Maintenance,476.64,2024-02-06,
176,147,2,Outreach,11.51,2025-08-05,
177,148,1,Maintenance,19.2,2023-07-23,
178,149,4,Education,300.0,2023-10-20,
179,150,4,Outreach,853.82,2024-10-03,
180,150,3,Education,853.82,2024-10-03,
181,151,2,Wellbeing,436.93,2025-07-18,
182,152,1,Maintenance,250.0,2024-09-02,
183,153,2,Operations,4.89,2023-07-02,
184,154,9,Outreach,97.5,2024-10-14,
185,154,4,Transport,150.0,2024-10-14,
186,155,1,Maintenance,716.99,2025-09-23,
187,156,5,Wellbeing,1024.06,2024-12-06,
188,157,5,Maintenance,5.85,2024-12-06,
189,158,4,Education,303.45,2023-06-24,
190,158,1,Transport,303.45,2023-06-24,
191,159,3,Operations,325.06,2023-08-27,
192,160,7,Education,903.39,2024-11-08,
193,161,6,Transport,1042.36,2024-10-17,
194,162,5,Transport,15.36,2023-10-29,
195,162,3,Operations,15.36,2023-10-29,
196,163,2,Wellbeing,710.26,2025-01-07,
197,164,5,Education,971.81,2024-08-04,
198,165,3,Education,169.46,2023-01-22,
199,165,5,Operations,169.46,2023-01-22,
200,166,1,Wellbeing,1604.45,2025-07-29,
201,166,8,Transport,1604.45,2025-07-29,
202,167,6,Education,212.52,2025-08-10,
203,167,3,Maintenance,212.52,2025-08-10,
204,168,1,Wellbeing,8.95,2024-12-17,
205,168,8,Wellbeing,8.95,2024-12-17,
206,169,8,Operations,357.02,2026-02-24,
207,170,8,Transport,13.68,2025-12-30,
208,171,4,Education,469.97,2023-05-30,
209,172,7,Wellbeing,801.17,2024-12-20,
210,173,2,Operations,784.78,2023-10-31,
211,173,4,Maintenance,784.78,2023-10-31,
212,174,7,Operations,1564.35,2025-11-22,
213,175,4,Outreach,12.57,2025-03-05,
214,176,8,Transport,9.18,2025-04-04,
215,177,7,Operations,1732.45,2023-11-26,
216,178,2,Transport,2261.72,2025-12-16,
217,179,2,Operations,1021.77,2023-04-24,
218,180,8,Operations,1177.6,2024-08-17,
219,181,3,Wellbeing,201.88,2023-12-03,
220,181,6,Wellbeing,201.88,2023-12-03,
221,182,2,Education,125.0,2024-06-16,
222,182,4,Wellbeing,125.0,2024-06-16,
223,183,3,Operations,638.62,2024-03-13,
224,184,4,Education,308.56,2025-08-15,
225,184,8,Operations,308.56,2025-08-15,
226,185,3,Maintenance,6481.54,2024-12-01,
227,186,2,Maintenance,7.08,2025-04-20,
228,187,5,Education,307.52,2025-10-19,
229,188,4,Education,1061.85,2025-01-01,
230,189,7,Operations,1223.21,2025-10-23,
231,190,3,Transport,519.43,2023-07-19,
232,190,8,Wellbeing,519.43,2023-07-19,
233,191,1,Operations,453.66,2023-03-10,
234,192,8,Education,262.66,2023-10-14,
235,192,8,Wellbeing,262.66,2023-10-14,
236,193,9,Wellbeing,2.94,2024-05-31,
237,194,6,Education,529.53,2025-02-28,
238,195,5,Education,412.91,2026-02-14,
239,196,1,Maintenance,735.7,2024-10-06,
240,197,8,Education,4.75,2023-12-15,
241,198,5,Education,813.27,2025-01-21,
242,199,6,Education,26.27,2023-08-26,
243,200,3,Education,20.62,2023-08-22,
244,201,8,Transport,345.68,2023-01-15,
245,201,2,Education,345.68,2023-01-15,
246,202,7,Operations,577.74,2025-12-17,
247,202,9,Outreach,375.53,2025-12-17,
248,203,4,Operations,125.0,2025-02-11,
249,203,4,Wellbeing,125.0,2025-02-11,
250,204,9,Maintenance,478.15,2025-10-13,
251,205,6,Maintenance,1337.07,2024-01-07,
252,206,4,Transport,812.03,2024-12-28,
253,207,5,Education,17.39,2023-05-04,
254,208,1,Outreach,1160.53,2023-11-23,
255,209,2,Operations,12.44,2025-07-22,
256,210,6,Operations,179.93,2024-01-26,
257,210,5,Outreach,179.93,2024-01-26,
258,211,5,Transport,4.15,2023-04-23,
259,212,1,Operations,697.89,2023-11-03,
260,212,2,Education,697.89,2023-11-03,
261,213,6,Maintenance,413.32,2025-01-08,
262,214,1,Wellbeing,5.98,2025-01-04,
263,215,1,Transport,667.96,2023-08-20,
264,216,3,Wellbeing,633.01,2025-04-01,
265,217,3,Education,1179.47,2024-11-11,
266,218,6,Operations,376.97,2024-12-11,
267,219,3,Operations,409.44,2025-02-15,
268,220,8,Wellbeing,836.04,2025-08-24,
269,221,5,Operations,300.0,2023-03-29,
270,222,1,Operations,482.86,2024-06-30,
271,223,7,Maintenance,400.04,2023-08-11,
272,223,2,Operations,400.04,2023-08-11,
273,224,8,Operations,593.89,2025-11-12,
274,225,3,Operations,650.1,2024-10-24,
275,226,4,Operations,151.15,2025-03-10,
276,226,8,Maintenance,151.15,2025-03-10,
277,227,4,Education,526.91,2024-11-18,
278,227,5,Outreach,526.91,2024-11-18,
279,228,2,Operations,721.33,2023-04-17,
280,229,9,Operations,380.5,2025-08-21,
281,229,2,Transport,585.39,2025-08-21,
282,230,3,Wellbeing,1074.37,2026-01-20,
283,230,2,Education,1074.37,2026-01-20,
284,231,8,Outreach,1051.92,2024-12-28,
285,231,3,Education,1051.92,2024-12-28,
286,232,8,Outreach,979.58,2025-05-11,
287,232,9,Maintenance,636.73,2025-05-11,
288,233,8,Operations,2.9,2024-08-28,
289,233,4,Maintenance,2.9,2024-08-28,
290,234,3,Education,2104.72,2023-10-07,
291,235,9,Wellbeing,503.1,2023-08-01,
292,235,2,Operations,774.0,2023-08-01,
293,236,8,Transport,388.04,2026-01-05,
294,237,2,Wellbeing,1333.62,2025-11-24,
295,237,1,Education,1333.62,2025-11-24,
296,238,7,Education,4213.58,2025-08-19,
297,239,9,Education,162.5,2025-11-23,
298,240,2,Maintenance,825.07,2024-11-11,
299,240,6,Education,825.07,2024-11-11,
300,241,4,Operations,300.0,2025-12-21,
301,242,8,Maintenance,419.25,2024-09-10,
302,243,2,Wellbeing,489.55,2025-09-10,
303,244,1,Education,935.56,2023-08-05,
304,245,7,Wellbeing,816.8,2025-02-06,
305,245,8,Outreach,816.8,2025-02-06,
306,246,4,Wellbeing,1223.82,2024-08-03,
307,246,7,Wellbeing,1223.82,2024-08-03,
308,247,1,Wellbeing,283.99,2023-05-23,
309,247,7,Wellbeing,283.99,2023-05-23,
310,248,3,Operations,756.8,2025-05-26,
311,249,1,Education,808.8,2025-07-18,
312,250,5,Maintenance,689.85,2026-02-19,
313,251,9,Transport,659.39,2023-12-20,
314,251,3,Wellbeing,1014.45,2023-12-20,
315,252,6,Outreach,3.69,2025-08-11,
316,252,7,Education,3.69,2025-08-11,
317,253,6,Transport,29.54,2023-06-13,
318,254,8,Operations,419.11,2023-12-06,
319,254,4,Operations,419.11,2023-12-06,
320,255,1,Operations,1295.61,2024-09-03,
321,256,3,Wellbeing,1504.94,2024-11-13,
322,257,1,Maintenance,671.26,2025-03-31,
323,258,1,Transport,626.97,2025-08-28,
324,259,8,Transport,380.15,2024-09-10,
325,260,1,Operations,508.55,2024-04-11,
326,260,2,Maintenance,508.55,2024-04-11,
327,261,8,Transport,5.45,2023-01-16,
328,262,6,Education,341.77,2023-04-26,
329,262,1,Operations,341.77,2023-04-26,
330,263,6,Wellbeing,537.37,2025-12-06,
331,264,3,Maintenance,300.0,2024-02-28,
332,265,3,Education,344.86,2025-08-10,
333,266,7,Transport,374.1,2023-07-27,
334,267,7,Education,694.07,2023-02-22,
335,268,1,Transport,300.0,2023-11-06,
336,269,1,Outreach,314.15,2024-11-15,
337,270,4,Operations,603.87,2023-04-14,
338,271,5,Outreach,687.39,2023-07-16,
339,271,9,Education,446.81,2023-07-16,
340,272,3,Outreach,427.1,2024-06-15,
341,273,9,Education,355.71,2024-05-30,
342,274,3,Education,1000.5,2023-09-03,
343,275,1,Transport,463.82,2025-03-13,
344,276,8,Operations,707.04,2026-02-03,
345,277,9,Outreach,223.34,2023-10-03,
346,278,2,Transport,655.63,2024-04-24,
347,279,1,Transport,207.56,2024-12-05,
348,279,6,Operations,207.56,2024-12-05,
349,280,3,Wellbeing,583.05,2025-11-20,
350,281,9,Wellbeing,1.7,2025-11-03,
351,282,5,Wellbeing,7.53,2024-04-28,
352,283,3,Transport,330.63,2023-07-02,
353,284,4,Maintenance,19.4,2026-02-11,
354,285,5,Outreach,564.36,2025-07-17,
355,286,8,Operations,2496.61,2023-12-29,
356,287,3,Operations,736.22,2024-02-15,
357,288,8,Transport,287.16,2025-08-31,
358,288,9,Wellbeing,186.65,2025-08-31,
359,289,2,Operations,8.27,2024-04-16,
360,290,6,Wellbeing,11.61,2023-03-18,
361,291,7,Outreach,193.0,2025-04-08,
362,291,2,Wellbeing,193.0,2025-04-08,
363,292,9,Operations,102.67,2023-06-12,
364,292,1,Operations,157.96,2023-06-12,
365,293,3,Transport,372.94,2025-05-08,
366,294,2,Wellbeing,20.96,2025-12-14,
367,295,3,Education,663.94,2023-07-01,
368,296,4,Transport,286.8,2024-07-10,
369,296,2,Operations,286.8,2024-07-10,
370,297,3,Outreach,320.08,2026-02-02,
371,298,1,Operations,659.78,2026-01-22,
372,299,3,Outreach,300.0,2025-10-02,
373,300,3,Transport,2263.85,2023-12-17,
374,301,8,Wellbeing,2.2,2025-12-30,
375,302,2,Education,575.66,2025-11-23,
376,302,3,Transport,575.66,2025-11-23,
377,303,6,Education,1752.44,2024-07-14,
378,304,9,Operations,195.0,2025-10-03,
379,305,9,Education,13.3,2025-03-12,
380,306,5,Education,175.09,2023-09-18,
381,306,6,Education,175.09,2023-09-18,
382,307,3,Operations,454.01,2024-06-30,
383,308,7,Operations,300.0,2026-01-01,
384,309,1,Maintenance,300.0,2023-11-19,
385,310,6,Education,5.72,2023-07-06,
386,311,5,Wellbeing,329.09,2025-09-23,
387,312,9,Transport,195.0,2024-11-29,
388,313,3,Wellbeing,154.47,2023-12-16,
389,313,6,Wellbeing,154.47,2023-12-16,
390,314,2,Education,512.03,2025-12-03,
391,315,7,Operations,1082.01,2025-10-18,
392,316,8,Education,11.13,2024-07-22,
393,316,1,Wellbeing,11.13,2024-07-22,
394,317,5,Wellbeing,25.93,2024-10-13,
395,318,3,Wellbeing,310.5,2025-06-16,
396,319,4,Education,196.66,2026-02-18,
397,319,4,Education,196.66,2026-02-18,
398,320,6,Wellbeing,506.71,2023-04-03,
399,321,5,Wellbeing,690.98,2024-10-25,
400,322,9,Transport,335.59,2025-07-17,
401,323,1,Operations,416.0,2024-04-08,
402,324,2,Operations,825.99,2023-11-07,
403,325,1,Transport,28.61,2025-11-08,
404,326,3,Operations,836.51,2023-03-01,
405,327,1,Education,811.72,2023-07-13,
406,328,5,Education,776.19,2024-01-27,
407,329,5,Operations,770.34,2024-06-22,
408,330,4,Outreach,716.84,2024-03-17,
409,331,8,Education,531.11,2023-10-03,
410,332,7,Operations,12.85,2025-03-15,
411,333,2,Transport,789.3,2023-05-29,
412,334,1,Operations,452.5,2023-04-12,
413,334,4,Education,452.5,2023-04-12,
414,335,8,Wellbeing,571.69,2023-03-20,
415,336,2,Wellbeing,197.94,2023-05-05,
416,336,4,Operations,197.94,2023-05-05,
417,337,3,Education,235.77,2024-09-17,
418,337,6,Wellbeing,235.77,2024-09-17,
419,338,3,Operations,250.0,2025-02-07,
420,339,4,Education,13.56,2023-12-25,
421,339,3,Wellbeing,13.56,2023-12-25,
422,340,4,Transport,9.31,2025-01-23,
423,341,5,Transport,1420.95,2023-03-22,
424,342,1,Maintenance,993.12,2024-10-08,
425,343,2,Transport,413.2,2023-05-08,
426,344,3,Wellbeing,741.25,2025-08-12,
427,345,5,Outreach,1940.26,2025-11-24,
428,346,3,Education,1604.35,2024-09-27,
429,347,3,Operations,13.89,2025-07-05,
430,348,1,Wellbeing,988.59,2025-07-14,
431,349,3,Transport,452.59,2024-12-02,
432,350,5,Operations,1215.82,2023-12-22,
433,351,9,Operations,657.71,2024-11-14,
434,352,8,Outreach,196.04,2023-04-09,
435,352,9,Wellbeing,127.43,2023-04-09,
436,353,9,Wellbeing,854.15,2023-12-20,
437,353,7,Education,1314.07,2023-12-20,
438,354,2,Education,11.56,2025-04-20,
439,355,1,Wellbeing,10.67,2025-11-20,
440,356,6,Wellbeing,612.89,2023-01-10,
441,357,2,Operations,1066.99,2025-06-25,
442,357,4,Outreach,1066.99,2025-06-25,
443,358,4,Maintenance,803.96,2023-06-02,
444,359,9,Wellbeing,659.54,2025-04-26,
445,360,5,Maintenance,9.67,2023-01-27,
446,361,7,Outreach,695.6,2023-03-08,
447,362,8,Operations,292.62,2024-12-08,
448,362,5,Wellbeing,292.62,2024-12-08,
449,363,8,Education,1812.47,2024-09-17,
450,364,7,Education,381.42,2025-09-02,
451,364,8,Education,381.42,2025-09-02,
452,365,7,Operations,11.16,2023-05-18,
453,366,8,Transport,915.05,2023-08-07,
454,367,6,Wellbeing,300.82,2023-06-08,
455,368,1,Operations,536.82,2023-03-30,
456,369,4,Wellbeing,538.29,2024-02-07,
457,369,1,Operations,538.29,2024-02-07,
458,370,2,Operations,2499.74,2025-06-16,
459,371,8,Education,2310.53,2025-12-22,
460,372,9,Wellbeing,162.5,2024-06-22,
461,373,6,Transport,4.01,2023-11-02,
462,374,4,Operations,1282.52,2023-03-08,
463,374,5,Education,1282.52,2023-03-08,
464,375,5,Wellbeing,125.0,2024-01-02,
465,375,9,Outreach,81.25,2024-01-02,
466,376,4,Transport,362.04,2025-04-07,
467,376,1,Education,362.04,2025-04-07,
468,377,9,Outreach,5.05,2024-08-28,
469,377,3,Transport,7.76,2024-08-28,
470,378,5,Education,568.31,2024-06-08,
471,378,3,Education,568.31,2024-06-08,
472,379,3,Education,250.0,2023-02-22,
473,380,1,Transport,1399.62,2024-12-13,
474,381,5,Transport,538.65,2023-07-14,
475,382,4,Operations,748.26,2024-11-25,
476,383,2,Outreach,1510.6,2025-07-08,
477,384,7,Maintenance,1878.65,2025-10-08,
478,385,8,Operations,519.42,2023-06-02,
479,386,5,Operations,642.58,2026-02-11,
480,387,9,Operations,351.86,2024-08-04,
481,388,5,Outreach,511.42,2023-10-15,
482,389,6,Operations,300.0,2023-11-05,
483,390,7,Outreach,180.99,2025-02-04,
484,390,4,Operations,180.99,2025-02-04,
485,391,9,Education,0.81,2025-03-19,
486,391,4,Outreach,1.25,2025-03-19,
487,392,4,Transport,19.7,2023-10-31,
488,392,9,Wellbeing,12.8,2023-10-31,
489,393,9,Outreach,195.0,2023-12-13,
490,394,9,Outreach,755.41,2025-11-18,
491,395,2,Wellbeing,1078.99,2025-10-27,
492,396,5,Wellbeing,39.15,2023-07-25,
493,397,8,Education,583.43,2023-10-11,
494,398,5,Operations,280.87,2024-04-30,
495,399,3,Maintenance,972.26,2024-09-23,
496,400,9,Operations,246.51,2026-01-20,
497,401,1,Maintenance,3.63,2024-08-26,
498,402,2,Education,382.94,2023-12-19,
499,403,7,Maintenance,291.03,2025-07-04,
500,404,3,Education,835.01,2025-05-29,
501,405,5,Wellbeing,3.54,2023-08-15,
502,405,4,Operations,3.54,2023-08-15,
503,406,4,Education,10.29,2024-11-06,
504,406,5,Outreach,10.29,2024-11-06,
505,407,4,Transport,250.0,2024-01-17,
506,408,7,Wellbeing,597.03,2023-12-05,
507,408,3,Maintenance,597.03,2023-12-05,
508,409,9,Operations,453.66,2025-01-12,
509,410,9,Transport,310.74,2023-08-18,
510,411,7,Operations,4.61,2023-12-01,
511,412,7,Wellbeing,16.45,2026-01-12,
512,412,5,Operations,16.45,2026-01-12,
513,413,4,Maintenance,469.23,2025-11-27,
514,414,3,Wellbeing,420.23,2024-10-14,
515,415,5,Wellbeing,10.8,2026-01-13,
516,416,9,Education,728.7,2023-02-03,
517,417,6,Maintenance,349.66,2023-01-13,
518,418,3,Outreach,1924.57,2025-03-08,
519,419,9,Operations,440.59,2024-10-29,
520,420,7,Maintenance,150.0,2025-12-09,
521,420,7,Transport,150.0,2025-12-09,
