item_id,donation_id,item_name,item_category,quantity,unit_of_measure,estimated_unit_value,intended_use,received_condition
87,287,Rice,Hygiene,13,kg,695.28,Shelter,New
88,287,Books,Clothing,20,kg,33.86,Hygiene,Good
89,292,Rice,Hygiene,4,pcs,808.85,Shelter,New
90,292,Medicines,Supplies,24,packs,376.49,Meals,New
91,293,Medicines,Clothing,12,packs,388.92,Education,New
92,298,Bags,Supplies,11,sets,731.53,Education,New
93,298,Blankets,Medical,7,kg,102.56,Health,Good
94,299,Rice,Clothing,15,boxes,706.58,Health,New
95,304,Medicines,SchoolMaterials,29,packs,878.9,Hygiene,New
96,306,Furniture,Food,22,sets,1009.03,Hygiene,New
97,308,Books,Clothing,16,boxes,1050.44,Hygiene,Fair
98,308,Blankets,Furniture,29,sets,1165.36,Meals,New
99,309,Rice,Medical,13,kg,189.09,Health,New
100,312,Books,Furniture,7,kg,1008.32,Meals,New
101,312,Hygiene Kits,SchoolMaterials,12,sets,355.82,Shelter,New
102,313,Books,SchoolMaterials,29,boxes,474.27,Hygiene,New
103,313,School Supplies,SchoolMaterials,4,sets,851.19,Meals,New
104,313,Medicines,SchoolMaterials,7,kg,174.74,Meals,New
105,315,Medicines,Supplies,18,kg,910.39,Meals,Good
106,320,Furniture,Medical,4,kg,86.03,Education,New
107,322,Furniture,Food,18,pcs,776.36,Hygiene,New
108,327,Books,Clothing,14,sets,187.34,Meals,Good
109,331,Rice,Hygiene,15,boxes,88.6,Shelter,New
110,337,Furniture,Clothing,22,packs,658.92,Meals,New
111,337,School Supplies,Supplies,20,pcs,596.36,Meals,New
112,342,Hygiene Kits,Clothing,17,boxes,455.07,Shelter,New
113,342,Uniforms,Medical,14,packs,578.05,Shelter,New
114,348,School Supplies,Supplies,5,pcs,109.62,Shelter,New
115,348,Rice,Medical,18,pcs,653.14,Health,New
116,349,Blankets,Supplies,10,packs,813.7,Hygiene,New
117,356,Bags,Clothing,25,sets,334.07,Education,Fair
118,367,Furniture,Medical,15,packs,1007.62,Health,New
119,385,Medicines,SchoolMaterials,16,packs,778.65,Education,New
120,386,Uniforms,Food,11,kg,793.8,Shelter,Good
121,388,Furniture,Food,1,packs,125.76,Health,Good
122,389,Uniforms,Clothing,21,pcs,794.85,Health,Fair
123,393,Books,Supplies,28,kg,212.68,Meals,New
124,397,Books,Furniture,3,kg,135.87,Shelter,New
125,402,Furniture,Medical,21,boxes,129.71,Hygiene,New
126,410,Blankets,Hygiene,7,boxes,727.26,Education,New
127,414,Rice,Supplies,12,pcs,329.96,Meals,New
128,419,Medicines,Medical,25,kg,677.44,Hygiene,New
129,420,Bags,Supplies,27,pcs,525.15,Education,Good
